model,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,predicted_anomalous,total_sequences
LGMMA-X (LSTM-AE + GMM),0.959722,0.529347,0.68234,0.708858,0.733334,0.9323,3223.0,405.0,8580.0,9650.0,10055.0,21858.0
ARIMA-GARCH,0.985478,0.532309,0.691242,0.746447,0.82985,0.963575,3485.0,143.0,8526.0,9704.0,9847.0,21858.0
Z-score,0.882071,0.989632,0.932761,0.662402,0.894803,0.977227,1216.0,2412.0,189.0,18041.0,20453.0,21858.0
Isolation Forest,0.966542,0.852551,0.905975,0.85213,0.93405,0.986617,3090.0,538.0,2688.0,15542.0,16080.0,21858.0
One-Class SVM,0.995938,0.645529,0.783332,0.816149,0.884247,0.97697,3580.0,48.0,6462.0,11768.0,11816.0,21858.0
LSTM-AE (Fixed Threshold),0.98284,0.785464,0.873136,0.858278,0.934338,0.986628,3378.0,250.0,3911.0,14319.0,14569.0,
LSTM-AE (Raw Error Ranking),,,,,0.934338,0.986628,,,,,,
