feature_index,mean,std
0,-0.009747374,1.1610476
1,0.37748784,1.143817
2,0.3759118,1.1575066
3,0.36230695,1.0966425
4,0.38909084,1.191314
5,0.36804843,1.0788507
6,-0.027101303,1.1584173
